dataset_name,image_index,pred,gt,PL
SVTP,82,Hord,Hard,Hard
IC15_1811,1142,soor,Soon,Soon
IC15_1811,655,Deeigual.,Desigual,Desigual
SVTP,85,CAYS,CAFE,CAFE
IC15_1811,1417,RIBECA,RIBEC,RIBECA
IC15_1811,938,repub..,repu,repub
IC15_1811,1084,SALESO,SALE,SALE
IC15_1811,401,ANGKOKA,ANGKOK,ANGKOK
IIIT5k,2396,TVP,TV?,TV?
IC15_1811,1688,Bogs,Book,Bags
IC15_1811,1495,SALL,SAL,SAL
IC15_1811,1156,GEFT,GIFT,GIFT
IIIT5k,998,Lookove,Lookout,Lookout
IIIT5k,526,OSCON,Oscar,Oscar
IC15_1811,1051,PESMIUNCOFFEEEAN,SSI,
SVTP,556,Mussum,Museum,
IC15_1811,1764,atun,ature,atu
IC15_1811,851,tibber,figger,figger
IC15_1811,832,tates,ios,s
SVT,612,TIMEEN,TIMKEN,
IC15_1811,1249,Goast,coast,coast
IC15_1811,303,watso,wotso,watso
IC13_857,816,ieanswear,jeanswear,jeanswear
IC15_1811,1235,THREESTXTY,THREESIXTY,THREESIXTY
IC15_1811,685,MORE,ORE,STORE
IIIT5k,1603,Indla,India,India
IC15_1811,1021,BACK!,BACKI,BACKI
IIIT5k,1122,Menten,menlen,Menlen
IC15_1811,1660,Hain,Haina,Haina
IC15_1811,633,SPINC,SPENC,SPENC
IC15_1811,748,m,Inn,Inn
IC15_1811,1385,WORKSHOPELERS,WORKSHOPELEM,WORKSHOPELEM
IC15_1811,565,ALLUTE,alluti,
IIIT5k,975,allbaba,alibaba,alibaba
IC15_1811,1460,CALAXY,GALAXY,GALAXY
IC15_1811,1422,cplCentre,epiCentre,epiCentre
SVTP,607,CUSTON,CUSTOM,CUSTOM
SVTP,327,Qulzno's,Quizno's,Quizno's
SVTP,184,Chinal,China,China
SVTP,306,Vecnon,Vernon,Vernon
SVTP,575,Econol,Econo,Econo
IC15_1811,1269,HENO,HEN,HEN
IC15_1811,1490,orchardgateuLay,orchardgateway,orchardgateway
IC15_1811,638,Cnr,CAP,
SVT,248,WATERCOLORSE,WATERCOURSE,WATERCOURSE
IC15_1811,1165,OYSTER,OYS,OYSTER
IC13_857,424,REVENT,REVETT,REVETT
SVTP,61,ARLIJORO,ARLBORO,ARLBORO
IC15_1811,578,OPEII,OPE,OPEN
IC13_857,21,lpswich,Ipswich,Ipswich
SVT,528,PAKI,PAK,PAK
SVTP,187,Dellar,Dollar,Dollar
SVTP,46,COPOGIRO,CaPOGIRO,CaPOGIRO
IIIT5k,515,Arnisen,Arntsen,Arntsen
IC15_1811,551,RAPPLES,RAFFLES,RAFFLES
SVTP,506,LOUNIE,LOUNGE,LOUNGE
IIIT5k,1993,MANCATHA,MANGATHA,MANGATHA
IC15_1811,849,rett,Eett,Eett
IC15_1811,1044,COFE,COFF,COFF
IIIT5k,2654,YOURSELE,YOURSELF.,YOURSELF.
IC13_857,184,lan,Ian,Ian
IC15_1811,516,Chan,Chang,Chan
IIIT5k,1667,MB,YNB,YNB
IC15_1811,592,Fred,Fried,Fried
IC15_1811,418,PLAY,PLAN,PLAY
IC15_1811,394,Relishing,Refishing,Relishing
IC15_1811,990,SEPHO,SEPH,SEPH
IC15_1811,1032,shUATELIER,shuaTELER,shuATELIER
SVTP,433,Cornes,Corner,Corner
IIIT5k,900,Gwalia3,gwaliab,Gwalia
IC15_1811,1354,SOLDES,SOLDE,SOLDES
SVTP,543,circas,circes,circes
IC15_1811,722,billie,billlie,billie
SVT,435,REDWORKS,REDWD,REDWOOD
IC15_1811,1359,DREVER,OREVER,OREVER
IC15_1811,604,Chinney,Chimney,Chimney
IIIT5k,2962,0p,Op,Op
IC15_1811,1615,CHARLIE,CHAXLIE,CHARLIE
IC15_1811,1597,MORTDECAT,MORTDECAI,MORTDECAI
SVTP,52,CIMINAMA,CINERAMA,CINERAMA
IC15_1811,1104,swatch,swatc,swatch
IC15_1811,1383,WORKSHOPER,WORKSHOPE,WORKSHOPE
IC15_1811,536,TISSOT,THT,TISSOT
IC15_1811,1025,DYST,bYST,bYST
CUTE80,168,CHRUSTMAS,CHRISTMAS,CHRISTMAS
IC15_1811,241,Takyo,Tokyo,Tokyo
IC15_1811,1641,ROARDS,BOARDS,BOARDS
IC15_1811,274,Snacks,Snecks,Snacks
IC15_1811,1124,Anniversarv,Anniversary,Anniversary
SVTP,342,JONS,JONES,JONES
IC15_1811,1568,KINGS,KINOS,KINGS
IC15_1811,1749,LIFESTYLEL,LIFESTYLE,LIFESTYLE
SVT,234,Donald's,Donald',Donald's
SVTP,454,MATEHOUSE,WAREHOUSE,WAREHOUSE
SVTP,333,CRAND,GRAND,GRAND
SVTP,302,REDWARD,REDWOOD,REDWOOD
IC15_1811,68,12R,I2R,I2R
IIIT5k,345,LADAG,LAOAG,LAOAG
IC15_1811,877,Reatroom,Restroom,Restroom
IC15_1811,944,TOWLI,Towe,Tow
IC15_1811,1503,archardgateway,orchardgateway,orchardgateway
IIIT5k,2843,Centie,Centre,Centre
IIIT5k,1238,Skalini,Shalini,Shalini
IC15_1811,221,TENT,TEMT,TEMT
IC15_1811,1531,BENEGA,BEEGA,
SVTP,510,BELVEDERS,BELVEDERE,BELVEDERE
IC15_1811,717,Crabtree,Crahtree,Crabtree
IC15_1811,1133,Loon,Soon,Soon
IC13_857,320,Cotchester,Colchester,Colchester
IC15_1811,1352,SOLDES,OLDES,SOLDES
IC15_1811,834,sma,sme,sm
IIIT5k,1291,Nahrungserginzung,Nahrungserganzung,Nahrungserganzung
IC15_1811,817,browhaus,browhous,browhaus
IC15_1811,625,DUSOL,SOL,DUSOL
IC15_1811,1767,SHURT,SHORT,SHORT
IIIT5k,2802,www.HouStogSigns.com,www.NonStopSigns.com,www.NonStopSigns.com
IC15_1811,1603,NAME,NAM,NAM
IIIT5k,2015,BONALD,RONALD,RONALD
IC13_857,855,CETRIEBSBEREIT,BETRIEBSBEREIT,BETRIEBSBEREIT
SVTP,100,Alen,Allen,Allen
IC15_1811,327,Sunted,Suntec,Suntec
IIIT5k,2951,Drder,Order,Order
IC15_1811,940,TRADITIONALS,TRADITIONAL,TRADITIONAL
IC15_1811,1731,ARALDI1930,ARALD11930,ARALD11930
IC15_1811,791,Wooloomooloo,woobo,Wooloomooloo
IC15_1811,321,Edition,Eailian,Edition
IC15_1811,1763,From,rom,From
IC13_857,143,Chocomet,Chocomel,Chocomel
IC13_857,425,umted,Limted,Limited
IC15_1811,695,STORE,ORE,STORE
IC15_1811,301,Relishing,Reking,Relishing
IC15_1811,52,nventing,venting,nventing
SVT,128,CARAGE,GARAGE,GARAGE
IC15_1811,630,ROBINSOI,ROBINSO,ROBINSON
IIIT5k,2021,IGNOBANCE,IGNORANCE,IGNORANCE
SVTP,199,CRISH,CRUSH,CRUSH
IC13_857,247,Informal,Informat,Informat
SVTP,254,Angelo,Angela,Angelo
IC15_1811,1488,POPEYES,POPEVES,POPEYES
IC15_1811,1227,Deautyressional,eauty,beauty
SVTP,540,PARO,PARC,PARC
IC15_1811,621,SHAHI,SAHI,SHAHI
IC15_1811,585,inportant,important,important
IIIT5k,1002,Stigns,Signs,Signs
IIIT5k,895,22721,20721,20721
IIIT5k,1591,Esciting,Exciting,Exciting
IC15_1811,197,char,cha,cha
IC15_1811,240,dessert,ceve,dessert
IC15_1811,1370,ROOM,ROOK,ROOM
IC15_1811,699,INDI.,IND,INDI
IC13_857,245,dvisiory,dvisory,dvisory
IC13_857,187,Verbandsteffe,Verbandstoffe,Verbandstoffe
IC15_1811,1440,SYMPHORY,SYMPHONY,SYMPHONY
IC15_1811,1591,JAN2015,JAN,JAN2015
IIIT5k,695,Lydney,Lgdney,Lydney
IC15_1811,1442,CHABUTON,CHANBUTON,CHABUTON
IIIT5k,814,mediescientist,medicscientist,medicscientist
IC15_1811,692,STORE,SORE,STORE
IC15_1811,225,CRUSE,CRUISE,CRUISE
IC15_1811,1747,RENAZA,RENANZA,RENAZA
IC15_1811,978,GORDANO,GIORDANO,GIORDANO
IC15_1811,437,Organic,Organto,Organic
IC15_1811,749,FOOD,OOD,FOOD
IC15_1811,349,Relishing,Refishing,Relishing
IC15_1811,1750,SABRINAGON,SADRINAGO,SABRINAGON
IC15_1811,1498,WAKAI,WAKA,WAKAI
IC15_1811,1258,MARC,HARC,MARC
IC15_1811,1055,Standard,Standart,Standard
IC15_1811,1500,WAKAI,WAKA,WAKAI
IC15_1811,359,Maridarin,Mandarin,Mandarin
IC15_1811,1652,erages,IES,ges
IC15_1811,66,Rd),RdJ,Rd)
IC15_1811,373,TAG,JAG,TAG
IC15_1811,1332,LE,ALE,ALE
IC15_1811,1590,CATHAY,CATHA,CATHAY
IC15_1811,1096,SALE,NALE,SALE
IC15_1811,1674,WAITINGFOR,GIO,WAITINGFOR
IC15_1811,256,Experience,Boerien,Experience
IC15_1811,526,Cityr,city,City
IC15_1811,1050,Coffee,Coffes,Coffee
IC15_1811,1776,Supplier,Supplies,Supplier
IC15_1811,1073,colectpoint,collectpoint,collectpoint
IC15_1811,1653,Level,LEVE,Level
IC15_1811,532,SKINCARE,SINCLARE,SKINCARE
IC15_1811,1275,SAVOUR,SAYOUR,SAVOUR
SVT,629,LOUNSE,LOUNIE,LOUNGE
IIIT5k,2166,GHSTBUSTERS,GHOSTBUSTERS,GHOSTBUSTERS
IC15_1811,1363,SALE,SLE,SALE
IC15_1811,727,HOSEREEL,HOSEREEH,HOSEREEL
IC15_1811,269,OILETRIES,OILETREIES,OILETRIES
IC15_1811,1028,JEWELLERY,JEWERLERY,JEWELLERY
IC13_857,590,guice,guide,guide
IC15_1811,78,IGGULDEN,GGULDEN,IGGULDEN
IC15_1811,470,VERSATILITY,YERSATIUITT,VERSATILITY
IC15_1811,467,FARM,FARN,FARM
IC15_1811,196,DARLIE,DARUE,DARLIE
IC13_857,697,COPTES,COPIES,COPIES
IC15_1811,742,7,ELEVEN,ELEVEN
IC15_1811,771,way,ivay,way
IC15_1811,1113,SINCE,SINC,SINCE
IC15_1811,1384,WALKER,WALKIN,WALKER
IC15_1811,109,comin,comi,comin
IC15_1811,63,Hougang,Haugang,Hougang
IC15_1811,1168,WORLD,RLD,WORLD
IIIT5k,1621,www.loudbilboards.com,www.loudbillboards.com,www.loudbillboards.com
IC15_1811,1619,CINEPLEX,CINEPLE,CINEPLEX
IC15_1811,39,VEHICLES,VEICHLES,VEHICLES
